Name,Id,Ranking,Gender,Category,Year_Ranking,Week_ranking,Country,Brith_Code,DOB,Reach,Height,Weight,Nickname,Wins,Draws,Losses,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
"Makhachev, Islam",sr:competitor:251835,1,male,pound_for_pound,2025,19,RUSSIAN FEDERATION,RUS,1991-09-27,179.0,178.0,70.3,,27.0,0.0,2.0,2.63,58.0,1.55,61.0,3.2,53.0,90.0,1.1
"Jones, Jon",sr:competitor:253371,2,male,pound_for_pound,2025,19,UNITED STATES,USA,1987-07-19,215.0,194.0,112.5,Bones,28.0,0.0,1.0,4.38,58.0,2.24,64.0,1.89,45.0,95.0,0.5
"Topuria, Ilia",sr:competitor:750503,3,male,pound_for_pound,2025,19,GERMANY,DEU,1997-01-21,175.0,170.0,65.5,El Matador,16.0,0.0,0.0,4.69,47.0,3.84,64.0,2.02,61.0,92.0,1.1
"Dvalishvili, Merab",sr:competitor:399183,4,male,pound_for_pound,2025,19,GEORGIA,GEO,1991-01-10,173.0,168.0,60.8,The Machine,18.0,0.0,4.0,4.36,42.0,2.51,56.0,5.89,35.0,82.0,0.3
"Du Plessis, Dricus",sr:competitor:400461,5,male,pound_for_pound,2025,19,,,1994-01-14,193.0,185.0,83.9,Stillknocks,23.0,0.0,2.0,6.12,48.0,4.9,54.0,2.55,50.0,50.0,0.7
"Ankalaev, Magomed",sr:competitor:419867,6,male,pound_for_pound,2025,19,RUSSIAN FEDERATION,RUS,1992-06-02,191.0,191.0,93.0,,21.0,1.0,1.0,3.66,52.0,2.46,57.0,0.8,22.0,87.0,0.0
"Muhammad, Belal",sr:competitor:267867,7,male,pound_for_pound,2025,19,UNITED STATES,USA,1988-07-09,183.0,180.0,77.1,Remember The Name,24.0,0.0,4.0,4.46,43.0,3.78,55.0,2.24,38.0,90.0,0.1
"Pereira, Alex",sr:competitor:837536,8,male,pound_for_pound,2025,19,BRAZIL,BRA,1987-07-07,203.0,194.0,93.0,Poatan,12.0,0.0,3.0,5.0,62.0,3.5,53.0,0.11,50.0,78.0,0.2
"Volkanovski, Alex",sr:competitor:290262,9,male,pound_for_pound,2025,19,AUSTRALIA,AUS,1988-09-29,182.0,168.0,65.8,The Great,27.0,0.0,4.0,,,,,,,,
"Pantoja, Alexandre",sr:competitor:312032,10,male,pound_for_pound,2025,19,BRAZIL,BRA,1990-04-16,173.0,166.0,61.2,The Cannibal,29.0,0.0,5.0,4.41,50.0,3.92,50.0,2.74,47.0,68.0,0.9
"Aspinall, Tom",sr:competitor:545279,11,male,pound_for_pound,2025,19,ENGLAND,ENG,1993-04-11,198.0,196.0,113.9,,15.0,0.0,3.0,8.07,67.0,2.89,65.0,3.27,100.0,100.0,1.6
"Holloway, Max",sr:competitor:237652,12,male,pound_for_pound,2025,19,UNITED STATES,USA,1991-12-04,175.0,180.0,70.8,Blessed,26.0,0.0,8.0,7.16,47.0,4.76,59.0,0.25,53.0,83.0,0.3
"O'Malley, Sean",sr:competitor:397240,13,male,pound_for_pound,2025,19,UNITED STATES,USA,1994-10-24,183.0,180.0,61.2,Suga,18.0,0.0,1.0,6.7,61.0,3.48,60.0,0.29,42.0,61.0,0.3
"Oliveira, Charles",sr:competitor:542119,14,male,pound_for_pound,2025,19,BRAZIL,BRA,1989-10-17,188.0,178.0,70.8,Do Bronx,35.0,0.0,10.0,3.4,55.0,3.21,49.0,2.25,40.0,56.0,2.7
"Tsarukyan, Arman",sr:competitor:567145,15,male,pound_for_pound,2025,19,GEORGIA,GEO,1996-10-11,184.0,170.0,70.8,Ahalkalakets,22.0,0.0,3.0,3.79,48.0,1.84,53.0,3.25,37.0,75.0,0.0
"Pantoja, Alexandre",sr:competitor:312032,0,male,flyweight,2025,19,BRAZIL,BRA,1990-04-16,173.0,166.0,61.2,The Cannibal,29.0,0.0,5.0,4.41,50.0,3.92,50.0,2.74,47.0,68.0,0.9
"Royval, Brandon",sr:competitor:715231,1,male,flyweight,2025,19,UNITED STATES,USA,1992-08-16,179.0,175.0,57.1,Raw Dawg,17.0,0.0,7.0,4.46,39.0,3.06,47.0,0.75,75.0,45.0,1.2
"Moreno, Brandon",sr:competitor:288695,2,male,flyweight,2025,19,MEXICO,MEX,1993-12-07,178.0,170.0,57.1,The Assassin Baby,23.0,2.0,8.0,3.96,44.0,3.62,60.0,1.51,44.0,64.0,0.4
"Albazi, Amir",sr:competitor:441656,3,male,flyweight,2025,19,IRAQ,IRQ,1993-10-27,173.0,165.0,57.2,The Prince,17.0,0.0,2.0,2.72,34.0,3.71,61.0,1.39,32.0,50.0,0.5
"Kara-France, Kai",sr:competitor:511412,4,male,flyweight,2025,19,NEW ZEALAND,NZL,1993-03-26,175.0,163.0,56.7,Don't Blink,25.0,0.0,11.0,4.56,39.0,3.22,65.0,0.61,33.0,88.0,0.0
"Taira, Tatsuro",sr:competitor:879899,5,male,flyweight,2025,19,JAPAN,JPN,2000-01-27,178.0,170.0,57.2,,16.0,0.0,1.0,2.99,60.0,2.69,46.0,2.73,44.0,45.0,1.6
"Kape, Manel",sr:competitor:384992,6,male,flyweight,2025,19,ANGOLA,AGO,1993-11-14,173.0,165.0,56.9,StarBoy,21.0,0.0,7.0,5.04,55.0,4.05,57.0,0.42,30.0,81.0,0.3
"Perez, Alex",sr:competitor:399179,7,male,flyweight,2025,19,UNITED STATES,USA,1992-03-21,166.0,168.0,57.2,,25.0,0.0,9.0,4.19,46.0,3.2,58.0,2.04,46.0,77.0,0.8
"Almabayev, Asu",sr:competitor:1005683,8,male,flyweight,2025,19,,,1994-01-25,165.0,163.0,56.9,Zulfikar,21.0,0.0,3.0,2.32,54.0,1.76,53.0,4.13,42.0,66.0,1.4
"Erceg, Steve",sr:competitor:909471,9,male,flyweight,2025,19,,,1995-07-27,174.0,173.0,56.9,Astroboy,12.0,0.0,4.0,4.45,46.0,4.03,52.0,0.84,26.0,63.0,0.3
"Ulanbekov, Tagir",sr:competitor:723645,10,male,flyweight,2025,19,RUSSIAN FEDERATION,RUS,1991-07-08,178.0,170.0,56.5,,16.0,0.0,2.0,3.13,47.0,3.2,49.0,3.56,47.0,63.0,1.7
"Elliott, Tim",sr:competitor:303538,11,male,flyweight,2025,19,UNITED STATES,USA,1986-12-24,168.0,170.0,61.7,,21.0,1.0,13.0,3.39,44.0,2.66,56.0,3.73,47.0,59.0,1.0
"Silva, Bruno",sr:competitor:588493,12,male,flyweight,2025,19,BRAZIL,BRA,1990-03-16,168.0,163.0,57.2,Bulldog,14.0,2.0,6.0,3.86,48.0,5.35,41.0,0.77,22.0,74.0,0.0
"Temirov, Ramazonbek",sr:competitor:1003149,13,male,flyweight,2025,19,,,1997-01-31,160.0,163.0,56.9,Temurlan,18.0,0.0,2.0,,,,,,,,
"van, Joshua",sr:competitor:1000813,14,male,flyweight,2025,19,,,2001-10-10,165.0,165.0,56.9,The Fearless,13.0,0.0,2.0,8.1,54.0,5.24,60.0,1.11,63.0,80.0,0.0
"Asakura, Kai",sr:competitor:401993,15,male,flyweight,2025,19,,,1993-10-31,175.0,172.0,56.7,,21.0,0.0,5.0,2.4,58.0,4.52,38.0,0.0,0.0,57.0,0.0
"Dvalishvili, Merab",sr:competitor:399183,0,male,bantamweight,2025,19,GEORGIA,GEO,1991-01-10,173.0,168.0,60.8,The Machine,18.0,0.0,4.0,4.36,42.0,2.51,56.0,5.89,35.0,82.0,0.3
"O'Malley, Sean",sr:competitor:397240,1,male,bantamweight,2025,19,UNITED STATES,USA,1994-10-24,183.0,180.0,61.2,Suga,18.0,0.0,1.0,6.7,61.0,3.48,60.0,0.29,42.0,61.0,0.3
"Yan, Petr",sr:competitor:542169,2,male,bantamweight,2025,19,RUSSIAN FEDERATION,RUS,1993-02-11,170.0,169.0,61.2,No Mercy,17.0,0.0,5.0,5.11,54.0,4.13,58.0,1.61,49.0,84.0,0.1
"Nurmagomedov, Umar",sr:competitor:497764,3,male,bantamweight,2025,19,RUSSIAN FEDERATION,RUS,1996-03-01,175.0,173.0,61.2,,18.0,0.0,1.0,4.38,57.0,2.15,60.0,3.26,39.0,78.0,0.3
"Sandhagen, Cory",sr:competitor:464141,4,male,bantamweight,2025,19,UNITED STATES,USA,1992-04-20,178.0,180.0,61.5,Sandman,18.0,0.0,5.0,5.06,45.0,3.34,56.0,1.28,34.0,63.0,0.3
"Song, Yadong",sr:competitor:449143,5,male,bantamweight,2025,19,CHINA,CHN,1997-12-02,170.0,173.0,61.7,Kung Fu Kid,22.0,1.0,8.0,,,,,,,,
"Figueiredo, Deiveson",sr:competitor:340506,6,male,bantamweight,2025,19,BRAZIL,BRA,1987-12-18,173.0,165.0,61.2,Deus da Guerra,24.0,1.0,4.0,2.82,54.0,3.64,49.0,1.69,35.0,58.0,1.4
"Vera, Marlon",sr:competitor:245495,7,male,bantamweight,2025,19,ECUADOR,ECU,1992-12-02,179.0,173.0,61.7,Chito,21.0,1.0,10.0,4.27,49.0,5.37,50.0,0.51,39.0,72.0,0.8
"Font, Rob",sr:competitor:257361,8,male,bantamweight,2025,19,UNITED STATES,USA,1987-06-25,182.0,173.0,62.6,,22.0,0.0,8.0,5.49,46.0,3.67,57.0,0.79,34.0,42.0,0.4
"Cejudo, Henry",sr:competitor:253385,9,male,bantamweight,2025,19,UNITED STATES,USA,1987-02-09,171.0,163.0,61.2,Triple C,16.0,0.0,5.0,3.82,47.0,3.46,59.0,1.84,31.0,76.0,0.1
"Bautista, Mario",sr:competitor:542007,10,male,bantamweight,2025,19,UNITED STATES,USA,1993-07-01,175.0,175.0,61.5,,15.0,0.0,2.0,5.33,47.0,3.91,54.0,1.92,33.0,66.0,0.9
"Aldo, Jose",sr:competitor:237616,11,male,bantamweight,2025,19,BRAZIL,BRA,1986-09-09,178.0,170.0,64.9,Junior,32.0,0.0,10.0,3.65,46.0,3.81,60.0,0.47,51.0,92.0,0.1
"Phillips, Kyler",sr:competitor:511502,12,male,bantamweight,2025,19,,,,,,,,,,,5.28,44.0,3.47,60.0,2.63,51.0,75.0,0.4
"McGhee, Marcus",sr:competitor:1009269,13,male,bantamweight,2025,19,UNITED STATES,USA,1990-05-07,175.0,173.0,61.5,The Maniac,10.0,0.0,1.0,6.06,48.0,2.83,64.0,0.46,33.0,100.0,0.5
"Jackson, Montel",sr:competitor:449113,14,male,bantamweight,2025,19,UNITED STATES,USA,1992-04-24,192.0,178.0,61.7,Quik,15.0,0.0,2.0,3.22,53.0,1.39,62.0,3.24,62.0,68.0,0.4
"Zahabi, Aiemann",sr:competitor:316729,15,male,bantamweight,2025,19,CANADA,CAN,1987-11-19,173.0,173.0,64.4,,13.0,0.0,2.0,4.42,46.0,4.13,69.0,0.14,14.0,83.0,0.0
"Volkanovski, Alex",sr:competitor:290262,0,male,featherweight,2025,19,AUSTRALIA,AUS,1988-09-29,182.0,168.0,65.8,The Great,27.0,0.0,4.0,,,,,,,,
"Holloway, Max",sr:competitor:237652,1,male,featherweight,2025,19,UNITED STATES,USA,1991-12-04,175.0,180.0,70.8,Blessed,26.0,0.0,8.0,7.16,47.0,4.76,59.0,0.25,53.0,83.0,0.3
"Lopes, Diego",sr:competitor:830786,2,male,featherweight,2025,19,BRAZIL,BRA,1994-12-30,184.0,180.0,65.8,,26.0,0.0,7.0,3.7,47.0,4.76,46.0,0.35,40.0,67.0,1.9
"Topuria, Ilia",sr:competitor:750503,3,male,featherweight,2025,19,GERMANY,DEU,1997-01-21,175.0,170.0,65.5,El Matador,16.0,0.0,0.0,4.69,47.0,3.84,64.0,2.02,61.0,92.0,1.1
"Rodriguez, Yair",sr:competitor:253381,4,male,featherweight,2025,19,MEXICO,MEX,1992-10-06,180.0,180.0,66.2,El Pantera,17.0,0.0,5.0,4.65,46.0,3.78,52.0,0.71,29.0,59.0,0.6
"Evloev, Movsar",sr:competitor:567139,4,male,featherweight,2025,19,RUSSIAN FEDERATION,RUS,1994-02-11,184.0,170.0,66.0,,19.0,0.0,0.0,3.99,48.0,2.66,60.0,4.67,48.0,61.0,0.2
"Allen, Arnold",sr:competitor:245447,6,male,featherweight,2025,19,ENGLAND,ENG,1994-01-17,178.0,173.0,65.8,Almighty,20.0,0.0,3.0,3.45,41.0,2.88,61.0,0.93,47.0,75.0,0.3
"Ortega, Brian",sr:competitor:237692,7,male,featherweight,2025,19,UNITED STATES,USA,1991-02-21,175.0,173.0,66.2,T-City,16.0,0.0,4.0,4.08,37.0,6.59,49.0,1.07,26.0,55.0,1.1
"Murphy, Lerone",sr:competitor:625910,8,male,featherweight,2025,19,ENGLAND,ENG,1991-07-22,187.0,175.0,66.0,The Miracle,16.0,1.0,0.0,4.53,54.0,2.48,61.0,1.45,54.0,52.0,0.5
"Sterling, Aljamain",sr:competitor:260623,9,male,featherweight,2025,19,UNITED STATES,USA,1989-07-31,180.0,171.0,77.5,Funk Master,24.0,0.0,5.0,4.41,52.0,2.21,58.0,2.51,29.0,42.0,0.7
"Emmett, Josh",sr:competitor:256285,10,male,featherweight,2025,19,UNITED STATES,USA,1985-03-04,178.0,168.0,66.2,CC0 (C-C-OH),19.0,0.0,5.0,3.75,35.0,4.46,60.0,1.09,37.0,46.0,0.1
"Silva, Jean",sr:competitor:1026715,11,male,featherweight,2025,19,BRAZIL,BRA,1996-12-13,175.0,170.0,66.2,Lord,16.0,0.0,2.0,4.87,52.0,4.13,56.0,0.6,50.0,86.0,0.9
"Zalal, Youssef",sr:competitor:677163,12,male,featherweight,2025,19,UNITED STATES,USA,1996-09-04,183.0,178.0,66.0,The Moroccan Devil,17.0,1.0,5.0,3.07,50.0,1.8,66.0,2.09,30.0,59.0,1.3
"Onama, David",sr:competitor:848913,13,male,featherweight,2025,19,,,1994-06-07,188.0,180.0,66.2,Silent Assassin,14.0,0.0,2.0,5.24,50.0,4.73,52.0,1.08,30.0,52.0,0.5
"Ige, Dan",sr:competitor:539711,14,male,featherweight,2025,19,UNITED STATES,USA,1991-08-06,180.0,170.0,66.2,50K,19.0,0.0,9.0,3.67,45.0,3.55,56.0,0.94,25.0,58.0,0.2
"Kattar, Calvin",sr:competitor:361988,15,male,featherweight,2025,19,UNITED STATES,USA,1988-03-26,183.0,180.0,66.0,The Boston Finisher,23.0,0.0,9.0,4.6,38.0,6.62,53.0,0.36,29.0,77.0,0.1
"Makhachev, Islam",sr:competitor:251835,0,male,lightweight,2025,19,RUSSIAN FEDERATION,RUS,1991-09-27,179.0,178.0,70.3,,27.0,0.0,2.0,2.63,58.0,1.55,61.0,3.2,53.0,90.0,1.1
"Tsarukyan, Arman",sr:competitor:567145,1,male,lightweight,2025,19,GEORGIA,GEO,1996-10-11,184.0,170.0,70.8,Ahalkalakets,22.0,0.0,3.0,3.79,48.0,1.84,53.0,3.25,37.0,75.0,0.0
"Oliveira, Charles",sr:competitor:542119,2,male,lightweight,2025,19,BRAZIL,BRA,1989-10-17,188.0,178.0,70.8,Do Bronx,35.0,0.0,10.0,3.4,55.0,3.21,49.0,2.25,40.0,56.0,2.7
"Gaethje, Justin",sr:competitor:351762,3,male,lightweight,2025,19,UNITED STATES,USA,1988-11-14,178.0,181.0,70.8,The Highlight,26.0,0.0,5.0,6.59,58.0,7.18,51.0,0.1,14.0,68.0,0.0
"Holloway, Max",sr:competitor:237652,4,male,lightweight,2025,19,UNITED STATES,USA,1991-12-04,175.0,180.0,70.8,Blessed,26.0,0.0,8.0,7.16,47.0,4.76,59.0,0.25,53.0,83.0,0.3
"Poirier, Dustin",sr:competitor:261799,5,male,lightweight,2025,19,UNITED STATES,USA,1989-01-19,185.0,175.0,70.3,The Diamond,30.0,0.0,9.0,5.3,50.0,4.33,52.0,1.24,36.0,64.0,1.3
"Hooker, Daniel",sr:competitor:248591,6,male,lightweight,2025,19,NEW ZEALAND,NZL,1990-02-13,192.0,183.0,70.3,The Hangman,24.0,0.0,12.0,,,,,,,,
"Gamrot, Mateusz",sr:competitor:386466,7,male,lightweight,2025,19,POLAND,POL,1990-12-11,179.0,177.0,70.8,Gamer,24.0,0.0,3.0,3.23,50.0,3.22,58.0,5.25,35.0,90.0,0.1
"Pimblett, Paddy",sr:competitor:656567,8,male,lightweight,2025,19,ENGLAND,ENG,1995-01-03,185.0,178.0,70.8,The Baddy,23.0,0.0,3.0,5.19,53.0,3.14,42.0,0.96,28.0,50.0,1.7
"Dariush, Beneil",sr:competitor:250863,9,male,lightweight,2025,19,"IRAN, ISLAMIC REPUBLIC OF",IRN,1989-06-05,183.0,178.0,70.8,,22.0,1.0,6.0,3.78,48.0,2.65,57.0,1.9,34.0,80.0,0.9
"Moicano, Renato",sr:competitor:257367,10,male,lightweight,2025,19,BRAZIL,BRA,1989-05-21,183.0,181.0,70.8,Moicano,21.0,1.0,6.0,4.36,48.0,3.55,60.0,1.82,44.0,71.0,0.6
"Fiziev, Rafael",sr:competitor:511494,11,male,lightweight,2025,19,KYRGYZSTAN,KGZ,1993-03-05,182.0,173.0,70.8,Ataman,12.0,0.0,4.0,4.85,52.0,4.95,48.0,0.5,57.0,90.0,0.0
"Chandler, Michael",sr:competitor:266465,12,male,lightweight,2025,19,UNITED STATES,USA,1986-04-24,182.0,173.0,70.8,Iron,23.0,0.0,10.0,4.04,49.0,4.52,43.0,1.96,41.0,61.0,0.6
"Saint-Denis, Benoit",sr:competitor:844376,13,male,lightweight,2025,19,FRANCE,FRA,1995-12-18,185.0,180.0,70.8,God of War,14.0,0.0,3.0,,,,,,,,
"Dawson, Grant",sr:competitor:511478,14,male,lightweight,2025,19,UNITED STATES,USA,1994-02-20,183.0,178.0,70.3,KGD,23.0,1.0,2.0,3.2,52.0,2.11,44.0,3.87,40.0,57.0,1.1
"Alvarez, Joel",sr:competitor:543493,15,male,lightweight,2025,19,SPAIN,ESP,1993-03-02,196.0,191.0,70.5,El Fenomeno,22.0,0.0,3.0,4.51,53.0,3.32,50.0,0.0,0.0,40.0,1.2
"Muhammad, Belal",sr:competitor:267867,0,male,welterweight,2025,19,UNITED STATES,USA,1988-07-09,183.0,180.0,77.1,Remember The Name,24.0,0.0,4.0,4.46,43.0,3.78,55.0,2.24,38.0,90.0,0.1
"Brady, Sean",sr:competitor:579813,1,male,welterweight,2025,19,,,1992-11-23,184.0,178.0,77.1,,18.0,0.0,1.0,4.0,55.0,2.94,59.0,3.62,54.0,86.0,0.9
"Rakhmonov, Shavkat",sr:competitor:561032,2,male,welterweight,2025,19,KAZAKHSTAN,KAZ,1994-10-23,196.0,185.0,77.6,Nomad,19.0,0.0,0.0,3.25,60.0,2.17,51.0,1.4,25.0,85.0,1.2
"Edwards, Leon",sr:competitor:256121,3,male,welterweight,2025,19,JAMAICA,JAM,1990-08-25,188.0,188.0,77.1,Rocky,22.0,0.0,5.0,2.62,54.0,2.42,53.0,1.18,36.0,63.0,0.4
"Usman, Kamaru",sr:competitor:273539,4,male,welterweight,2025,19,NIGERIA,NGA,1987-05-11,193.0,183.0,83.7,Nigerian Nightmare,20.0,0.0,4.0,4.36,52.0,2.74,54.0,2.82,45.0,89.0,0.1
"Della Maddalena, Jack",sr:competitor:830050,5,male,welterweight,2025,19,,,1996-09-10,185.0,180.0,77.1,,18.0,0.0,2.0,6.84,52.0,4.53,64.0,0.16,11.0,69.0,0.2
"Machado Garry, Ian",sr:competitor:594908,6,male,welterweight,2025,19,IRELAND,IRL,1997-11-17,188.0,191.0,77.6,The Future,16.0,0.0,1.0,4.77,54.0,2.77,51.0,1.02,33.0,73.0,0.4
"Buckley, Joaquin",sr:competitor:430935,7,male,welterweight,2025,19,UNITED STATES,USA,1994-04-27,193.0,178.0,77.1,New Mansa,21.0,0.0,6.0,4.22,37.0,3.13,59.0,1.78,45.0,73.0,0.1
"Burns, Gilbert",sr:competitor:267851,8,male,welterweight,2025,19,BRAZIL,BRA,1986-07-20,180.0,178.0,77.6,Durinho,22.0,0.0,8.0,3.17,48.0,3.57,52.0,2.1,37.0,53.0,0.5
"Covington, Colby",sr:competitor:265079,9,male,welterweight,2025,19,UNITED STATES,USA,1988-02-22,183.0,180.0,77.1,Chaos,17.0,0.0,5.0,3.81,38.0,3.09,54.0,3.64,42.0,68.0,0.2
"Neal, Geoffrey",sr:competitor:413419,10,male,welterweight,2025,19,UNITED STATES,USA,1990-08-28,191.0,180.0,77.3,Handz of Steel,16.0,0.0,6.0,,,,,,,,
"Thompson, Stephen",sr:competitor:265063,11,male,welterweight,2025,19,UNITED STATES,USA,1983-02-11,191.0,183.0,77.1,Wonderboy,17.0,1.0,8.0,4.11,46.0,3.02,55.0,0.25,41.0,63.0,0.0
"Morales, Michael",sr:competitor:820072,12,male,welterweight,2025,19,,,1999-06-24,201.0,183.0,77.6,,17.0,0.0,0.0,5.42,48.0,3.42,52.0,1.16,41.0,92.0,0.0
"Prates, Carlos",sr:competitor:1020027,13,male,welterweight,2025,19,BRAZIL,BRA,1993-08-17,198.0,185.0,77.6,The Nightmare,21.0,0.0,7.0,3.6,54.0,4.79,48.0,0.25,100.0,83.0,0.0
"Luque, Vicente",sr:competitor:267863,14,male,welterweight,2025,19,UNITED STATES,USA,1991-11-27,193.0,180.0,77.1,The Silent Assassin,23.0,1.0,10.0,5.05,51.0,5.22,52.0,0.99,53.0,62.0,0.7
"Page, Michael",sr:competitor:254237,15,male,welterweight,2025,19,ENGLAND,ENG,1987-04-07,201.0,191.0,84.1,Venom,23.0,0.0,3.0,2.53,62.0,1.78,55.0,0.3,20.0,63.0,0.0
