Id,Country,Brith_Code,DOB,Reach,Height,Weight,Nickname,Wins,Draws,Losses
sr:competitor:251835,RUSSIAN FEDERATION,RUS,1991-09-27,179,178,70.3,,27,0,2
sr:competitor:750503,GERMANY,DEU,1997-01-21,175,170,65.5,El Matador,16,0,0
sr:competitor:399183,GEORGIA,GEO,1991-01-10,173,168,60.8,The Machine,18,0,4
sr:competitor:400461,,,1994-01-14,193,185,83.9,Stillknocks,23,0,2
sr:competitor:419867,RUSSIAN FEDERATION,RUS,1992-06-02,191,191,93.0,,21,1,1
sr:competitor:267867,UNITED STATES,USA,1988-07-09,183,180,77.1,Remember The Name,24,0,4
sr:competitor:837536,BRAZIL,BRA,1987-07-07,203,194,93.0,Poatan,12,0,3
sr:competitor:290262,AUSTRALIA,AUS,1988-09-29,182,168,65.8,The Great,27,0,4
sr:competitor:312032,BRAZIL,BRA,1990-04-16,173,166,61.2,The Cannibal,29,0,5
sr:competitor:545279,ENGLAND,ENG,1993-04-11,198,196,113.9,,15,0,3
sr:competitor:237652,UNITED STATES,USA,1991-12-04,175,180,70.8,Blessed,26,0,8
sr:competitor:397240,UNITED STATES,USA,1994-10-24,183,180,61.2,Suga,18,0,1
sr:competitor:542119,BRAZIL,BRA,1989-10-17,188,178,70.8,Do Bronx,35,0,10
sr:competitor:567145,GEORGIA,GEO,1996-10-11,184,170,70.8,Ahalkalakets,22,0,3
sr:competitor:312032,BRAZIL,BRA,1990-04-16,173,166,61.2,The Cannibal,29,0,5
sr:competitor:715231,UNITED STATES,USA,1992-08-16,179,175,57.1,Raw Dawg,17,0,7
sr:competitor:288695,MEXICO,MEX,1993-12-07,178,170,57.1,The Assassin Baby,23,2,8
sr:competitor:441656,IRAQ,IRQ,1993-10-27,173,165,57.2,The Prince,17,0,2
sr:competitor:511412,NEW ZEALAND,NZL,1993-03-26,175,163,56.7,Don't Blink,25,0,11
sr:competitor:879899,JAPAN,JPN,2000-01-27,178,170,57.2,,16,0,1
sr:competitor:384992,ANGOLA,AGO,1993-11-14,173,165,56.9,StarBoy,21,0,7
sr:competitor:399179,UNITED STATES,USA,1992-03-21,166,168,57.2,,25,0,9
sr:competitor:1005683,,,1994-01-25,165,163,56.9,Zulfikar,21,0,3
sr:competitor:909471,,,1995-07-27,174,173,56.9,Astroboy,12,0,4
sr:competitor:723645,RUSSIAN FEDERATION,RUS,1991-07-08,178,170,56.5,,16,0,2
sr:competitor:303538,UNITED STATES,USA,1986-12-24,168,170,61.7,,21,1,13
sr:competitor:588493,BRAZIL,BRA,1990-03-16,168,163,57.2,Bulldog,14,2,6
sr:competitor:1003149,,,1997-01-31,160,163,56.9,Temurlan,18,0,2
sr:competitor:1000813,,,2001-10-10,165,165,56.9,The Fearless,13,0,2
sr:competitor:401993,,,1993-10-31,175,172,56.7,,21,0,5
sr:competitor:399183,GEORGIA,GEO,1991-01-10,173,168,60.8,The Machine,18,0,4
sr:competitor:397240,UNITED STATES,USA,1994-10-24,183,180,61.2,Suga,18,0,1
sr:competitor:542169,RUSSIAN FEDERATION,RUS,1993-02-11,170,169,61.2,No Mercy,17,0,5
sr:competitor:497764,RUSSIAN FEDERATION,RUS,1996-03-01,175,173,61.2,,18,0,1
sr:competitor:464141,UNITED STATES,USA,1992-04-20,178,180,61.5,Sandman,18,0,5
sr:competitor:449143,CHINA,CHN,1997-12-02,170,173,61.7,Kung Fu Kid,22,1,8
sr:competitor:340506,BRAZIL,BRA,1987-12-18,173,165,61.2,Deus da Guerra,24,1,4
sr:competitor:245495,ECUADOR,ECU,1992-12-02,179,173,61.7,Chito,21,1,10
sr:competitor:257361,UNITED STATES,USA,1987-06-25,182,173,62.6,,22,0,8
sr:competitor:253385,UNITED STATES,USA,1987-02-09,171,163,61.2,Triple C,16,0,5
sr:competitor:542007,UNITED STATES,USA,1993-07-01,175,175,61.5,,15,0,2
sr:competitor:237616,BRAZIL,BRA,1986-09-09,178,170,64.9,Junior,32,0,10
sr:competitor:511502,UNITED STATES,USA,1995-06-12,183,173,61.2,The Matrix,12,0,3
sr:competitor:1009269,UNITED STATES,USA,1990-05-07,175,173,61.5,The Maniac,10,0,1
sr:competitor:449113,UNITED STATES,USA,1992-04-24,192,178,61.7,Quik,15,0,2
sr:competitor:316729,CANADA,CAN,1987-11-19,173,173,64.4,,13,0,2
sr:competitor:290262,AUSTRALIA,AUS,1988-09-29,182,168,65.8,The Great,27,0,4
sr:competitor:237652,UNITED STATES,USA,1991-12-04,175,180,70.8,Blessed,26,0,8
sr:competitor:830786,BRAZIL,BRA,1994-12-30,184,180,65.8,,26,0,7
sr:competitor:750503,GERMANY,DEU,1997-01-21,175,170,65.5,El Matador,16,0,0
sr:competitor:253381,MEXICO,MEX,1992-10-06,180,180,66.2,El Pantera,17,0,5
sr:competitor:567139,RUSSIAN FEDERATION,RUS,1994-02-11,184,170,66.0,,19,0,0
sr:competitor:245447,ENGLAND,ENG,1994-01-17,178,173,65.8,Almighty,20,0,3
sr:competitor:237692,UNITED STATES,USA,1991-02-21,175,173,66.2,T-City,16,0,4
sr:competitor:625910,ENGLAND,ENG,1991-07-22,187,175,66.0,The Miracle,16,1,0
sr:competitor:260623,UNITED STATES,USA,1989-07-31,180,171,77.5,Funk Master,24,0,5
sr:competitor:256285,UNITED STATES,USA,1985-03-04,178,168,66.2,CC0 (C-C-OH),19,0,5
sr:competitor:1026715,BRAZIL,BRA,1996-12-13,175,170,66.2,Lord,16,0,2
sr:competitor:677163,UNITED STATES,USA,1996-09-04,183,178,66.0,The Moroccan Devil,17,1,5
sr:competitor:848913,,,1994-06-07,188,180,66.2,Silent Assassin,14,0,2
sr:competitor:539711,UNITED STATES,USA,1991-08-06,180,170,66.2,50K,19,0,9
sr:competitor:361988,UNITED STATES,USA,1988-03-26,183,180,66.0,The Boston Finisher,23,0,9
sr:competitor:251835,RUSSIAN FEDERATION,RUS,1991-09-27,179,178,70.3,,27,0,2
sr:competitor:567145,GEORGIA,GEO,1996-10-11,184,170,70.8,Ahalkalakets,22,0,3
sr:competitor:542119,BRAZIL,BRA,1989-10-17,188,178,70.8,Do Bronx,35,0,10
sr:competitor:351762,UNITED STATES,USA,1988-11-14,178,181,70.8,The Highlight,26,0,5
sr:competitor:237652,UNITED STATES,USA,1991-12-04,175,180,70.8,Blessed,26,0,8
sr:competitor:261799,UNITED STATES,USA,1989-01-19,185,175,70.3,The Diamond,30,0,9
sr:competitor:248591,NEW ZEALAND,NZL,1990-02-13,192,183,70.3,The Hangman,24,0,12
sr:competitor:386466,POLAND,POL,1990-12-11,179,177,70.8,Gamer,24,0,3
sr:competitor:656567,ENGLAND,ENG,1995-01-03,185,178,70.8,The Baddy,23,0,3
sr:competitor:250863,"IRAN, ISLAMIC REPUBLIC OF",IRN,1989-06-05,183,178,70.8,,22,1,6
sr:competitor:257367,BRAZIL,BRA,1989-05-21,183,181,70.8,Moicano,21,1,6
sr:competitor:511494,KYRGYZSTAN,KGZ,1993-03-05,182,173,70.8,Ataman,12,0,4
sr:competitor:266465,UNITED STATES,USA,1986-04-24,182,173,70.8,Iron,23,0,10
sr:competitor:844376,FRANCE,FRA,1995-12-18,185,180,70.8,God of War,14,0,3
sr:competitor:511478,UNITED STATES,USA,1994-02-20,183,178,70.3,KGD,23,1,2
sr:competitor:543493,SPAIN,ESP,1993-03-02,196,191,70.5,El Fenomeno,22,0,3
sr:competitor:267867,UNITED STATES,USA,1988-07-09,183,180,77.1,Remember The Name,24,0,4
sr:competitor:579813,,,1992-11-23,184,178,77.1,,18,0,1
sr:competitor:561032,KAZAKHSTAN,KAZ,1994-10-23,196,185,77.6,Nomad,19,0,0
sr:competitor:256121,JAMAICA,JAM,1990-08-25,188,188,77.1,Rocky,22,0,5
sr:competitor:273539,NIGERIA,NGA,1987-05-11,193,183,83.7,Nigerian Nightmare,20,0,4
sr:competitor:830050,,,1996-09-10,185,180,77.1,,18,0,2
sr:competitor:594908,IRELAND,IRL,1997-11-17,188,191,77.6,The Future,16,0,1
sr:competitor:430935,UNITED STATES,USA,1994-04-27,193,178,77.1,New Mansa,21,0,6
sr:competitor:267851,BRAZIL,BRA,1986-07-20,180,178,77.6,Durinho,22,0,8
sr:competitor:265079,UNITED STATES,USA,1988-02-22,183,180,77.1,Chaos,17,0,5
sr:competitor:413419,UNITED STATES,USA,1990-08-28,191,180,77.3,Handz of Steel,16,0,6
sr:competitor:265063,UNITED STATES,USA,1983-02-11,191,183,77.1,Wonderboy,17,1,8
sr:competitor:820072,,,1999-06-24,201,183,77.6,,17,0,0
sr:competitor:1020027,BRAZIL,BRA,1993-08-17,198,185,77.6,The Nightmare,21,0,7
sr:competitor:267863,UNITED STATES,USA,1991-11-27,193,180,77.1,The Silent Assassin,23,1,10
sr:competitor:254237,ENGLAND,ENG,1987-04-07,201,191,84.1,Venom,23,0,3
sr:competitor:400461,,,1994-01-14,193,185,83.9,Stillknocks,23,0,2
sr:competitor:742869,RUSSIAN FEDERATION,RUS,1995-03-01,191,191,83.9,The Sniper,16,0,4
sr:competitor:244108,UNITED STATES,USA,1991-02-27,193,185,83.9,,29,0,7
sr:competitor:728833,RUSSIAN FEDERATION,RUS,1994-05-01,191,188,84.1,Borz,14,0,0
sr:competitor:410485,NIGERIA,NGA,1989-07-22,203,193,83.9,The Last Stylebender,24,0,5
sr:competitor:253377,NEW ZEALAND,NZL,1990-12-20,187,182,84.4,The Reaper,27,0,8
sr:competitor:820060,BRAZIL,BRA,1993-01-16,191,185,84.4,The Natural,17,0,1
sr:competitor:250133,UNITED STATES,USA,1984-03-16,197,180,83.5,Tha Killa Gorilla,18,0,8
sr:competitor:577053,GEORGIA,GEO,1988-07-15,193,188,84.4,,15,0,3
sr:competitor:449127,,,1993-10-18,191,183,84.1,Fluffy,14,0,2
sr:competitor:278713,ITALY,ITA,1993-09-20,188,183,84.4,The Italian Dream,19,1,8
sr:competitor:599908,UNITED STATES,USA,1995-12-28,191,188,84.4,All In,24,0,7
sr:competitor:320689,BRAZIL,BRA,1991-04-21,183,185,83.9,The Eraser,14,0,4
sr:competitor:678801,,,,201,193,84.1,RdR,20,0,2
sr:competitor:642158,,,1991-05-04,191,183,84.1,,14,0,3
sr:competitor:457841,RUSSIAN FEDERATION,RUS,1990-09-02,198,188,84.1,,28,1,6
sr:competitor:419867,RUSSIAN FEDERATION,RUS,1992-06-02,191,191,93.0,,21,1,1
sr:competitor:837536,BRAZIL,BRA,1987-07-07,203,194,93.0,Poatan,12,0,3
sr:competitor:251853,CZECH REPUBLIC,CZE,1992-10-14,203,191,92.8,BJP,30,1,5
sr:competitor:753947,NEW ZEALAND,NZL,1990-11-17,196,193,93.0,Black Jag,12,0,1
sr:competitor:608564,UNITED STATES,USA,1991-05-19,201,193,93.0,Sweet Dreams,12,0,3
sr:competitor:250143,POLAND,POL,1983-02-24,198,188,93.0,,29,1,11
sr:competitor:372544,AUSTRIA,AUT,1992-02-06,198,194,93.4,Rocket,14,0,5
sr:competitor:301658,UNITED STATES,USA,1990-02-26,194,185,93.2,,14,0,6
sr:competitor:347406,,,1989-12-26,196,193,93.4,The Devastator,15,0,4
sr:competitor:542115,SWITZERLAND,CHE,1989-09-19,191,188,93.4,No Time,20,0,8
sr:competitor:256105,UKRAINE,UKR,1992-03-07,197,191,93.4,The Miner,30,0,10
sr:competitor:511852,BRAZIL,BRA,1992-03-30,208,198,93.4,,21,0,9
sr:competitor:346976,RUSSIAN FEDERATION,RUS,1989-04-12,182,179,93.0,Professional,14,0,0
sr:competitor:913003,,,1998-08-16,191,189,93.4,Mountain Tiger,19,0,6
sr:competitor:1049263,,,1992-09-12,193,190,92.8,Czarevitch,17,0,3
sr:competitor:449099,UNITED STATES,USA,1987-10-18,193,183,93.0,Atomic,16,1,5
sr:competitor:253371,UNITED STATES,USA,1987-07-19,215,194,112.5,Bones,28,0,1
sr:competitor:545279,ENGLAND,ENG,1993-04-11,198,196,113.9,,15,0,3
sr:competitor:595034,FRANCE,FRA,1990-05-08,206,193,113.4,Bon Gamin,12,0,2
sr:competitor:542161,RUSSIAN FEDERATION,RUS,1988-10-24,203,201,117.0,Drago,38,0,11
sr:competitor:515358,RUSSIAN FEDERATION,RUS,1992-05-13,213,191,112.9,,19,0,3
sr:competitor:542009,UNITED STATES,USA,1991-02-18,203,193,118.8,Razor,17,0,5
sr:competitor:820044,BRAZIL,BRA,1991-06-26,201,191,109.3,Malhadinho,22,0,2
sr:competitor:567207,,,1995-01-24,198,190,108.0,Polar Bear,17,0,5
sr:competitor:250173,POLAND,POL,1985-11-09,198,191,113.3,Tybur,27,0,9
sr:competitor:542099,UNITED STATES,USA,1985-02-07,201,191,119.7,The Black Beast,28,0,12
sr:competitor:393034,AUSTRALIA,AUS,1993-03-16,191,188,120.2,Bam Bam,14,0,8
sr:competitor:855381,,,1991-10-03,198,193,118.6,Salsa Boy,13,0,1
sr:competitor:1026697,,,1990-02-10,199,193,117.9,,14,0,1
sr:competitor:928581,,,1995-10-02,201,193,118.0,,10,0,1
sr:competitor:1185501,,,1999-12-07,211,201,117.0,Xicao,8,0,0
sr:competitor:570405,SLOVAKIA,SVK,1991-11-11,196,193,120.7,Badys,15,0,2
sr:competitor:542175,CHINA,CHN,1989-08-13,160,163,52.2,Magnum,26,0,3
sr:competitor:399229,BRAZIL,BRA,1988-05-30,163,160,52.6,Carcara,22,0,3
sr:competitor:542155,UNITED STATES,USA,1990-12-19,168,165,52.4,,11,0,1
sr:competitor:395000,CHINA,CHN,1989-06-16,160,166,52.6,Nine,19,0,5
sr:competitor:355570,BRAZIL,BRA,1987-05-22,165,163,52.6,Amandinha,15,1,4
sr:competitor:261805,BRAZIL,BRA,1991-09-25,157,156,57.2,Bate Estaca,26,0,14
sr:competitor:399233,UNITED STATES,USA,1993-03-24,160,163,52.6,,15,0,5
sr:competitor:510950,BRAZIL,BRA,1993-08-26,168,160,52.6,,12,0,6
sr:competitor:924103,BRAZIL,BRA,2002-01-08,168,160,52.4,,17,0,6
sr:competitor:441630,CANADA,CAN,1995-05-17,160,165,52.4,The Savage,16,0,8
sr:competitor:800738,BRAZIL,BRA,1995-02-21,157,155,52.2,Baby Shark,11,0,3
sr:competitor:786758,MEXICO,MEX,1993-09-06,155,157,52.4,Loopy,13,0,5
sr:competitor:542071,UNITED STATES,USA,1985-01-12,164,160,52.4,Overkill,18,0,14
sr:competitor:237732,UNITED STATES,USA,1989-08-16,154,155,52.2,Tiny Tornado,14,0,7
sr:competitor:756397,BRAZIL,BRA,1993-11-18,157,163,52.6,,11,0,4
sr:competitor:590895,,,1996-01-18,156,155,52.2,,10,0,3
sr:competitor:542061,MEXICO,MEX,1993-08-09,168,165,57.2,,16,1,5
sr:competitor:598952,FRANCE,FRA,1990-02-17,168,169,56.7,The Beast,12,0,2
sr:competitor:676033,,,1999-05-04,173,163,56.8,Cold Blooded,13,0,2
sr:competitor:462103,UNITED STATES,USA,1998-05-18,165,165,56.7,The Future,14,0,2
sr:competitor:890667,BRAZIL,BRA,1997-02-03,165,163,56.9,,19,1,5
sr:competitor:237730,UNITED STATES,USA,1992-06-29,165,165,56.6,Thug,13,0,7
sr:competitor:261805,BRAZIL,BRA,1991-09-25,157,156,57.2,Bate Estaca,26,0,14
sr:competitor:579365,BRAZIL,BRA,1986-11-21,173,163,57.2,Vivi,13,0,6
sr:competitor:820046,CANADA,CAN,1989-03-01,173,170,56.3,,14,0,3
sr:competitor:372608,UNITED STATES,USA,1993-12-10,166,165,57.2,,11,0,2
sr:competitor:847512,BRAZIL,BRA,1993-12-02,170,165,56.9,Killer,18,0,5
sr:competitor:324143,,,1997-07-01,166,161,56.9,Fear The,17,0,5
sr:competitor:775996,,,1997-10-07,175,168,56.9,King,10,0,2
sr:competitor:542103,BRAZIL,BRA,1994-01-26,170,168,57.2,The Queen,17,0,10
sr:competitor:305006,UNITED STATES,USA,1992-09-29,171,165,56.8,,14,0,7
sr:competitor:268067,UNITED STATES,USA,1989-08-19,175,168,61.2,The Venezuelan Vixen,13,0,5
sr:competitor:542125,UNITED STATES,USA,1988-09-05,171,170,61.1,Rocky,16,0,10
sr:competitor:476142,UNITED STATES,USA,1990-07-02,168,173,61.7,,18,0,1
sr:competitor:288703,BRAZIL,BRA,1991-08-26,173,173,61.2,Fenomeno,14,0,4
sr:competitor:669385,BRAZIL,BRA,1990-10-01,170,169,61.7,The Immortal,12,0,2
sr:competitor:542017,UNITED STATES,USA,1991-07-27,183,180,61.5,,10,0,3
sr:competitor:541997,MEXICO,MEX,1988-03-26,174,175,61.7,,15,0,8
sr:competitor:905733,ARGENTINA,ARG,1994-10-05,168,165,61.2,Fiona,12,0,2
sr:competitor:501754,BRAZIL,BRA,1991-08-22,169,168,57.2,Sheetara,10,1,5
sr:competitor:542083,RUSSIAN FEDERATION,RUS,1989-11-11,174,173,61.7,,15,0,8
sr:competitor:618456,BRAZIL,BRA,1994-12-30,171,165,61.5,,18,0,7
sr:competitor:1049265,BRAZIL,BRA,1997-08-29,178,175,61.2,,9,0,1
sr:competitor:1027333,,,1989-06-12,170,169,62.6,,9,0,2
sr:competitor:246049,UNITED STATES,USA,1986-08-18,165,168,61.5,Cupcake,20,0,10
sr:competitor:768194,PANAMA,PAN,1995-09-29,178,173,61.7,La Pantera,15,0,6
sr:competitor:424927,,,1990-11-23,173,174,60.8,,6,0,3
